"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"80",184,4,25434756,"Tree Cover = 84%",7,84,43,0.02745098,0.329411765,0.168627451,1,0
"81",185,2,27728902,"Tree Cover = 85%",3,84,44,0.011764706,0.329411765,0.17254902,0,0
"82",210,2,22881636,"Shrub Cover = 10%",239,228,204,0.937254902,0.894117647,0.8,0,0
"83",211,1,19812687,"Shrub Cover = 11%",238,227,202,0.933333333,0.890196078,0.792156863,0,0
"84",215,208,13238742,"Shrub Cover = 15%",235,222,192,0.921568627,0.870588235,0.752941176,46,0.1
"85",216,2,39944836,"Shrub Cover = 16%",234,221,190,0.917647059,0.866666667,0.745098039,0,0
"86",217,2,27673741,"Shrub Cover = 17%",233,220,188,0.91372549,0.862745098,0.737254902,0,0
"87",218,4,30909703,"Shrub Cover = 18%",232,219,185,0.909803922,0.858823529,0.725490196,1,0
"88",219,5,45166074,"Shrub Cover = 19%",232,217,183,0.909803922,0.850980392,0.717647059,1,0
"89",220,8,66027637,"Shrub Cover = 20%",231,216,181,0.905882353,0.847058824,0.709803922,2,0
"90",221,4,34841727,"Shrub Cover = 21%",230,215,178,0.901960784,0.843137255,0.698039216,1,0
"91",222,4,98190021,"Shrub Cover = 22%",229,214,176,0.898039216,0.839215686,0.690196078,1,0
"92",223,6,84378400,"Shrub Cover = 23%",228,213,174,0.894117647,0.835294118,0.682352941,1,0
"93",224,16,44062559,"Shrub Cover = 24%",227,212,172,0.890196078,0.831372549,0.674509804,4,0
"94",225,479,94208465,"Shrub Cover = 25%",227,210,169,0.890196078,0.823529412,0.662745098,107,0.3
"95",226,40,109086572,"Shrub Cover = 26%",226,209,167,0.88627451,0.819607843,0.654901961,9,0
"96",227,45,62293577,"Shrub Cover = 27%",225,208,165,0.882352941,0.815686275,0.647058824,10,0
"97",228,78,144047060,"Shrub Cover = 28%",224,207,163,0.878431373,0.811764706,0.639215686,17,0.1
"98",229,117,114590931,"Shrub Cover = 29%",223,206,161,0.874509804,0.807843137,0.631372549,26,0.1
"99",230,176,63231995,"Shrub Cover = 30%",223,205,158,0.874509804,0.803921569,0.619607843,39,0.1
"100",231,240,96799671,"Shrub Cover = 31%",222,204,156,0.870588235,0.8,0.611764706,53,0.2
"101",232,259,77548748,"Shrub Cover = 32%",221,203,154,0.866666667,0.796078431,0.603921569,58,0.2
"102",233,280,42556307,"Shrub Cover = 33%",220,202,152,0.862745098,0.792156863,0.596078431,62,0.2
"103",234,335,63752727,"Shrub Cover = 34%",219,201,149,0.858823529,0.788235294,0.584313725,75,0.2
"104",235,550,54191785,"Shrub Cover = 35%",218,200,147,0.854901961,0.784313725,0.576470588,122,0.4
"105",236,316,55379015,"Shrub Cover = 36%",215,196,144,0.843137255,0.768627451,0.564705882,70,0.2
"106",237,315,13904469,"Shrub Cover = 37%",208,190,140,0.815686275,0.745098039,0.549019608,70,0.2
"107",238,303,25132650,"Shrub Cover = 38%",202,184,135,0.792156863,0.721568627,0.529411765,67,0.2
"108",239,292,20502197,"Shrub Cover = 39%",196,178,131,0.768627451,0.698039216,0.51372549,65,0.2
"109",240,249,19922659,"Shrub Cover = 40%",189,173,127,0.741176471,0.678431373,0.498039216,55,0.2
"110",241,259,10269941,"Shrub Cover = 41%",183,167,123,0.717647059,0.654901961,0.482352941,58,0.2
"111",242,232,25426252,"Shrub Cover = 42%",177,161,118,0.694117647,0.631372549,0.462745098,52,0.1
"112",243,207,5273551,"Shrub Cover = 43%",170,155,114,0.666666667,0.607843137,0.447058824,46,0.1
"113",244,133,16732792,"Shrub Cover = 44%",164,149,110,0.643137255,0.584313725,0.431372549,30,0.1
